journal_title,normalized_title,issn,eissn,publisher,abdc_rating,abdc_for,ajg2024,ajg_field,in_ft50,in_utd24,in_hci_sjr_q1,is_preprint_platform,source_lists,obhrm_candidate,inclusion_reason,review_status
Academy of Management Annals,academy of management annals,1941-6520,1941-6067,Academy of Management,A*,3507,4*,ETHICS-CSR-MAN,True,False,False,False,FT50;AJG2024_4*;ABDC_A*,True,manual core OBHRM title; ABDC FoR 3507; title keyword 'academy of management'; FT50/UTD management-general journal,include_candidate
Academy of Management Journal,academy of management journal,0001-4273,1948-0989,Academy of Management,A*,3507,4*,ETHICS-CSR-MAN,True,True,False,False,FT50;UTD24;AJG2024_4*;ABDC_A*,True,manual core OBHRM title; ABDC FoR 3507; title keyword 'academy of management'; FT50/UTD management-general journal,include_candidate
Academy of Management Learning and Education,academy of management learning and education,1537-260X,1944-9585,Academy of Management,A*,3507,4*,MDEV&EDU,False,False,False,False,AJG2024_4*;ABDC_A*,True,manual core OBHRM title; ABDC FoR 3507; AJG field MDEV&EDU; title keyword 'academy of management',include_candidate
Academy of Management Perspectives,academy of management perspectives,1558-9080,1943-4529,Academy of Management,A,3507,4,ETHICS-CSR-MAN,False,False,False,False,AJG2024_4;ABDC_A,True,manual core OBHRM title; ABDC FoR 3507; title keyword 'academy of management',include_candidate
Academy of Management Review,academy of management review,0363-7425,1930-3807,Academy of Management,A*,3507,4*,ETHICS-CSR-MAN,True,True,False,False,FT50;UTD24;AJG2024_4*;ABDC_A*,True,manual core OBHRM title; ABDC FoR 3507; title keyword 'academy of management'; FT50/UTD management-general journal,include_candidate
Administrative Science Quarterly,administrative science quarterly,0001-8392,1930-3815,Sage Publications,A*,3507,4*,ETHICS-CSR-MAN,True,True,False,False,FT50;UTD24;AJG2024_4*;ABDC_A*,True,manual core OBHRM title; ABDC FoR 3507; title keyword 'administrative science'; FT50/UTD management-general journal,include_candidate
American Journal of Sociology,american journal of sociology,0002-9602,1537-5390,The University of Chicago Press,A*,3507,4*,SOC SCI,False,False,False,False,AJG2024_4*;ABDC_A*,True,ABDC FoR 3507,needs_review
American Sociological Review,american sociological review,0003-1224,1939-8271,Sage Publications,A*,3507,4*,SOC SCI,True,False,False,False,FT50;AJG2024_4*;ABDC_A*,True,ABDC FoR 3507,needs_review
Annual Review of Psychology,annual review of psychology,0066-4308,1545-2085,Annual Reviews,A*,3507,4,PSYCH (GENERAL),False,False,False,False,AJG2024_4;ABDC_A*,True,ABDC FoR 3507,needs_review
Annual Review of Sociology,annual review of sociology,0360-0572,1545-2115,Annual Reviews,A*,3507,4*,SOC SCI,False,False,False,False,AJG2024_4*;ABDC_A*,True,ABDC FoR 3507,needs_review
British Journal of Industrial Relations,british journal of industrial relations,0007-1080,1467-8543,Wiley-Blackwell Publishing,A*,3505,4,HRM&EMP,False,False,False,False,AJG2024_4;ABDC_A*,True,manual core OBHRM title; ABDC FoR 3505; AJG field HRM&EMP; title keyword 'industrial relations',include_candidate
British Journal of Management,british journal of management,1045-3172,1467-8551,Wiley-Blackwell Publishing,A*,3507,4,ETHICS-CSR-MAN,False,False,False,False,AJG2024_4;ABDC_A*,True,manual core OBHRM title; ABDC FoR 3507,include_candidate
