journal_title,normalized_title,issn,eissn,publisher,abdc_rating,abdc_for,ajg2024,ajg_field,in_ft50,in_utd24,in_hci_sjr_q1,is_preprint_platform,source_lists,obhrm_candidate,inclusion_reason,review_status
Academy of Management Annals,academy of management annals,1941-6520,1941-6067,Academy of Management,A*,3507,4*,ETHICS-CSR-MAN,True,False,False,False,FT50;AJG2024_4*;ABDC_A*,True,manual core OBHRM title; ABDC FoR 3507; title keyword 'academy of management'; FT50/UTD management-general journal,include_candidate
Academy of Management Journal,academy of management journal,0001-4273,1948-0989,Academy of Management,A*,3507,4*,ETHICS-CSR-MAN,True,True,False,False,FT50;UTD24;AJG2024_4*;ABDC_A*,True,manual core OBHRM title; ABDC FoR 3507; title keyword 'academy of management'; FT50/UTD management-general journal,include_candidate
Academy of Management Learning and Education,academy of management learning and education,1537-260X,1944-9585,Academy of Management,A*,3507,4*,MDEV&EDU,False,False,False,False,AJG2024_4*;ABDC_A*,True,manual core OBHRM title; ABDC FoR 3507; AJG field MDEV&EDU; title keyword 'academy of management',include_candidate
Academy of Management Review,academy of management review,0363-7425,1930-3807,Academy of Management,A*,3507,4*,ETHICS-CSR-MAN,True,True,False,False,FT50;UTD24;AJG2024_4*;ABDC_A*,True,manual core OBHRM title; ABDC FoR 3507; title keyword 'academy of management'; FT50/UTD management-general journal,include_candidate
Administrative Science Quarterly,administrative science quarterly,0001-8392,1930-3815,Sage Publications,A*,3507,4*,ETHICS-CSR-MAN,True,True,False,False,FT50;UTD24;AJG2024_4*;ABDC_A*,True,manual core OBHRM title; ABDC FoR 3507; title keyword 'administrative science'; FT50/UTD management-general journal,include_candidate
American Journal of Sociology,american journal of sociology,0002-9602,1537-5390,The University of Chicago Press,A*,3507,4*,SOC SCI,False,False,False,False,AJG2024_4*;ABDC_A*,True,ABDC FoR 3507,needs_review
American Sociological Review,american sociological review,0003-1224,1939-8271,Sage Publications,A*,3507,4*,SOC SCI,True,False,False,False,FT50;AJG2024_4*;ABDC_A*,True,ABDC FoR 3507,needs_review
Annual Review of Sociology,annual review of sociology,0360-0572,1545-2115,Annual Reviews,A*,3507,4*,SOC SCI,False,False,False,False,AJG2024_4*;ABDC_A*,True,ABDC FoR 3507,needs_review
Entrepreneurship Theory and Practice,entrepreneurship theory and practice,1042-2587,1540-6520,Sage Publications,A*,3507,4*,ENT-SBM,True,False,False,False,FT50;AJG2024_4*;ABDC_A*,True,ABDC FoR 3507,needs_review
Human Resource Management Journal (UK),human resource management journal,0954-5395,1748-8583,Wiley-Blackwell Publishing,A*,3505,4*,HRM&EMP,False,False,False,False,AJG2024_4*;ABDC_A*,True,ABDC FoR 3505; AJG field HRM&EMP; title keyword 'human resource',include_candidate
Journal of Applied Psychology,journal of applied psychology,0021-9010,1939-1854,American Psychological Association,A*,3507,4*,PSYCH (WOP-OB),True,False,False,False,FT50;AJG2024_4*;ABDC_A*,True,manual core OBHRM title; ABDC FoR 3507; AJG field PSYCH (WOP-OB); title keyword 'applied psychology',include_candidate
Journal of Business Venturing,journal of business venturing,0883-9026,1873-2003,Elsevier,A*,3507,4*,ENT-SBM,True,False,False,False,FT50;AJG2024_4*;ABDC_A*,True,ABDC FoR 3507,needs_review
Journal of International Business Studies,journal of international business studies,0047-2506,1478-6990,Springer International Publishing,A*,3507,4*,IB&AREA,True,True,False,False,FT50;UTD24;AJG2024_4*;ABDC_A*,True,ABDC FoR 3507; FT50/UTD management-general journal,include_candidate
Journal of Management,journal of management,0149-2063,1557-1211,Sage Publications,A*,3507,4*,ETHICS-CSR-MAN,True,False,False,False,FT50;AJG2024_4*;ABDC_A*,True,manual core OBHRM title; ABDC FoR 3507,include_candidate
Journal of Operations Management,journal of operations management,0272-6963,1873-1317,Wiley-Blackwell Publishing,A*,3507,4*,OPS&TECH,True,True,False,False,FT50;UTD24;AJG2024_4*;ABDC_A*,True,ABDC FoR 3507; broad-management/noise keyword needs human check,needs_review
Management Science,management science,0025-1909,1526-5501,INFORMS,A*,3507,4*,OR&MANSCI,True,True,False,False,FT50;UTD24;AJG2024_4*;ABDC_A*,True,ABDC FoR 3507,needs_review
Organization Science,organization science,1047-7039,1526-5455,INFORMS,A*,3507,4*,ORG STUD,True,True,False,False,FT50;UTD24;AJG2024_4*;ABDC_A*,True,manual core OBHRM title; ABDC FoR 3507; AJG field ORG STUD; title keyword 'organization'; FT50/UTD management-general journal,include_candidate
Personnel Psychology,personnel psychology,0031-5826,1744-6570,Wiley-Blackwell Publishing,A*,3507,4*,PSYCH (WOP-OB),False,False,False,False,AJG2024_4*;ABDC_A*,True,manual core OBHRM title; ABDC FoR 3507; AJG field PSYCH (WOP-OB); title keyword 'personnel',include_candidate
Psychological Science,psychological science,0956-7976,1467-9280,Sage Publications,A*,3507,4*,PSYCH (GENERAL),True,False,False,False,FT50;AJG2024_4*;ABDC_A*,True,ABDC FoR 3507,needs_review
Research Policy,research policy,0048-7333,1873-7625,Elsevier,A*,3507,4*,INNOV,True,False,False,False,FT50;AJG2024_4*;ABDC_A*,True,ABDC FoR 3507,needs_review
Strategic Management Journal,strategic management journal,0143-2095,1097-0266,Wiley-Blackwell Publishing,A*,3507,4*,STRAT,True,True,False,False,FT50;UTD24;AJG2024_4*;ABDC_A*,True,ABDC FoR 3507; FT50/UTD management-general journal,include_candidate
